     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4223500 2680500  1  5  6 -10.3  977 248  3.9 2  1.1  61    0    0 183 -278  2
4223500 2680500  1  5  7 -10.2  977 244  3.8 3  1.1  63    0    0 187 -279  2
4223500 2680500  1  5  8  -9.9  977 253  2.5 4  1.1  62    0    0 192 -280  2
4223500 2680500  1  5  9  -8.9  977 241  2.5 5  1.1  59   13    9 197 -282  2
4223500 2680500  1  5 10  -7.4  977 253  2.5 5  1.2  55  122   25 200 -284  2
4223500 2680500  1  5 11  -5.5  978 239  1.9 5  1.2  50  219   44 203 -286  2
4223500 2680500  1  5 12  -4.2  978 245  2.0 4  1.3  47  215   44 205 -289  2
4223500 2680500  1  5 13  -1.6  977 238  2.6 4  1.3  42  133   73 208 -290  2
4223500 2680500  1  5 14  -1.6  978 253  2.0 3  1.4  39   62   94 209 -291  2
4223500 2680500  1  5 15  -1.4  977 241  2.2 4  1.5  42   75   51 210 -290  2
4223500 2680500  1  5 16  -3.0  977 235  2.7 2  1.5  46   21   31 208 -288  2
4223500 2680500  1  5 17  -4.0  976 251  3.9 2  1.5  50    0    0 199 -285  2
4223500 2680500  1  5 18  -5.0  977 243  3.4 2  1.5  52    0    0 197 -283  2
4223500 2680500  1  5 19  -5.2  977 247  3.2 2  1.4  53    0    0 196 -282  2
4223500 2680500  1  5 20  -5.9  977 248  4.1 2  1.4  53    0    0 195 -282  2
4223500 2680500  1  5 21  -5.4  977 245  4.6 1  1.2  48    0    0 190 -281  2
4223500 2680500  1  5 22  -5.4  976 253  3.5 0  1.2  44    0    0 181 -281  2
4223500 2680500  1  5 23  -4.7  976 242  3.3 1  1.1  41    0    0 180 -281  2
4223500 2680500  1  5 24  -5.4  976 249  2.8 2  1.0  38    0    0 189 -280  2
4223500 2680500  1  6  1  -5.3  976 248  4.4 3  1.0  39    0    0 202 -280  2
4223500 2680500  1  6  2  -4.9  976 254  5.0 2  1.1  39    0    0 203 -279  2
4223500 2680500  1  6  3  -7.0  976 260  5.3 4  1.1  43    0    0 209 -279  2
4223500 2680500  1  6  4  -6.4  976 246  5.9 3  1.1  46    0    0 214 -279  2
4223500 2680500  1  6  5  -6.7  976 260  6.1 4  1.1  46    0    0 216 -280  2
4223500 2680500  1  6  6  -5.0  975 254  5.1 2  1.1  45    0    0 213 -280  2
4223500 2680500  1  6  7  -6.8  975 266  5.9 3  1.2  47    0    0 209 -280  2
4223500 2680500  1  6  8  -6.7  975 248  5.3 4  1.2  52    0    0 220 -281  2
4223500 2680500  1  6  9  -6.9  975 229  5.7 5  1.4  57   16    7 231 -282  2
4223500 2680500  1  6 10  -4.9  974 240  5.5 5  1.5  59  113   23 239 -283  2
4223500 2680500  1  6 11  -2.7  974 244  5.8 5  1.6  55   76   63 246 -287  2
4223500 2680500  1  6 12  -1.8  974 244  5.9 7  1.8  53    2   83 259 -294  2
4223500 2680500  1  6 13  -2.0  973 252  4.8 7  2.1  62   28  111 271 -301  2
4223500 2680500  1  6 14  -1.6  972 260  4.0 6  2.5  73   10   92 269 -306  2
4223500 2680500  1  6 15  -1.2  971 257  4.4 8  2.8  78   14   68 276 -309  2
4223500 2680500  1  6 16  -1.3  971 247  5.6 8  3.0  84   20   29 287 -312  2
4223500 2680500  1  6 17  -0.3  970 253  4.9 8  3.5  93    0    1 289 -313  2
4223500 2680500  1  6 18  -0.3  971 261  7.5 8  3.8  99    0    0 293 -314  2
4223500 2680500  1  6 19  -0.7  970 268  6.0 7  3.8 100    0    0 289 -314  2
4223500 2680500  1  6 20  -0.4  970 280  5.9 8  3.8 100    0    0 290 -315  2
4223500 2680500  1  6 21   0.2  971 289  5.9 7  3.8  98    0    0 292 -315  2
4223500 2680500  1  6 22  -0.5  971 290  4.7 8  3.8  98    0    0 292 -315  2
4223500 2680500  1  6 23  -0.6  970 271  3.5 8  3.8  99    0    0 299 -315  2
4223500 2680500  1  6 24  -0.3  970 271  4.1 8  3.8  98    0    0 300 -315  2
4223500 2680500  1  7  1  -0.4  970 280  5.2 7  3.8  98    0    0 293 -315  2
4223500 2680500  1  7  2  -0.4  970 283  4.6 8  3.8  99    0    0 294 -316  2
4223500 2680500  1  7  3   0.0  970 289  4.1 8  3.8  98    0    0 304 -317  2
4223500 2680500  1  7  4  -0.4  971 288  4.0 8  3.8  99    0    0 302 -317  2
4223500 2680500  1  7  5  -0.2  971 275  3.3 8  3.8  99    0    0 301 -317  2
4223500 2680500  1  7  6  -0.4  971 276  3.1 6  3.7  97    0    0 288 -316  2
4223500 2680500  1  7  7  -0.3  970 299  3.3 7  3.7  95    0    0 282 -316  2
4223500 2680500  1  7  8  -0.3  971 289  2.2 7  3.7  96    0    0 288 -315  2
4223500 2680500  1  7  9   0.1  971 277  1.8 8  3.7  95    0    9 294 -315  2
4223500 2680500  1  7 10  -0.1  972 285  1.6 7  3.8  95    8   47 295 -315  2
4223500 2680500  1  7 11  -0.1  971 272  1.6 8  3.8  96    0   51 295 -316  2
4223500 2680500  1  7 12  -0.1  972 280  2.6 8  3.8  96    0   44 300 -317  2
4223500 2680500  1  7 13  -0.1  972 251  2.7 8  3.8  97    0   49 301 -318  2
4223500 2680500  1  7 14   0.2  972 269  2.2 8  3.8  96    0   44 302 -319  2
4223500 2680500  1  7 15   0.2  972 296  2.2 7  3.8  95    0   40 297 -320  2
4223500 2680500  1  7 16   0.0  972 315  1.8 8  3.8  95    0   20 298 -319  2
4223500 2680500  1  7 17   0.0  973 336  0.9 7  3.8  95    0    0 297 -319  2
4223500 2680500  1  7 18  -0.2  973   2  0.6 6  3.8  96    0    0 286 -317  2
4223500 2680500  1  7 19  -0.5  973 332  0.8 7  3.8  98    0    0 285 -316  2
4223500 2680500  1  7 20  -0.7  973   7  0.6 5  3.8  99    0    0 279 -316  2
4223500 2680500  1  7 21  -0.8  973 230  0.6 6  3.7 100    0    0 272 -315  2
4223500 2680500  1  7 22  -1.2  973 236  0.6 6  3.7 100    0    0 277 -314  2
4223500 2680500  1  7 23  -1.2  973 230  0.7 7  3.6 100    0    0 282 -314  2
4223500 2680500  1  7 24  -1.3  973 358  0.4 5  3.6 100    0    0 276 -314  2
4223500 2680500  1  8  1  -1.5  973 352  0.3 7  3.6 100    0    0 274 -313  2
4223500 2680500  1  8  2  -1.5  973 322  0.2 7  3.5 100    0    0 284 -312  2
4223500 2680500  1  8  3  -1.7  973 340  0.3 6  3.5  99    0    0 278 -313  2
4223500 2680500  1  8  4  -1.7  973 331  0.4 7  3.4  98    0    0 278 -312  2
4223500 2680500  1  8  5  -1.7  973   2  0.5 7  3.4  98    0    0 282 -312  2
4223500 2680500  1  8  6  -1.7  973   1  0.3 6  3.4  98    0    0 276 -311  2
4223500 2680500  1  8  7  -1.5  973   2  0.2 7  3.4  97    0    0 275 -309  2
4223500 2680500  1  8  8  -1.6  974   4  0.3 7  3.4  97    0    0 279 -310  2
4223500 2680500  1  8  9  -1.7  974 325  0.6 7  3.4  97    1    9 279 -311  2
4223500 2680500  1  8 10  -1.4  975 348  0.6 8  3.4  97    6   43 283 -313  2
4223500 2680500  1  8 11  -1.5  975 261  1.0 6  3.5  98    2   66 278 -316  2
4223500 2680500  1  8 12  -1.3  975 269  1.6 6  3.5  98    0   74 266 -318  2
4223500 2680500  1  8 13  -1.2  975 284  1.1 5  3.5  98    0   83 261 -317  2
4223500 2680500  1  8 14  -1.1  975 349  0.5 6  3.5  98    0   46 262 -314  2
4223500 2680500  1  8 15  -1.2  975 339  0.2 7  3.5  98    0   28 273 -311  2
4223500 2680500  1  8 16  -1.4  976 318  0.4 7  3.5  98    0   12 277 -307  2
4223500 2680500  1  8 17  -1.6  976 316  0.3 7  3.5 100    0    1 276 -304  2
4223500 2680500  1  8 18  -1.9  976 247  0.8 6  3.4 100    0    0 269 -303  2
4223500 2680500  1  8 19  -2.3  977 337  0.5 5  3.4 100    0    0 258 -301  2
4223500 2680500  1  8 20  -2.7  977 339  0.5 5  3.2  98    0    0 251 -301  2
4223500 2680500  1  8 21  -3.5  976 312  0.9 4  3.0  97    0    0 244 -302  2
4223500 2680500  1  8 22  -3.6  976 300  1.2 4  2.9  96    0    0 239 -302  2
4223500 2680500  1  8 23  -4.0  976 292  1.5 5  2.8  96    0    0 243 -301  2
4223500 2680500  1  8 24  -4.1  976 324  2.5 4  2.8  96    0    0 242 -300  2
4223500 2680500  1  9  1  -3.7  976 268  2.3 6  2.8  97    0    0 248 -299  2
4223500 2680500  1  9  2  -3.8  976 201  2.1 5  2.9  96    0    0 252 -299  2
4223500 2680500  1  9  3  -3.9  976 239  1.9 6  2.9  97    0    0 251 -298  2
4223500 2680500  1  9  4  -4.1  976 127  2.2 7  2.9 100    0    0 259 -299  2
4223500 2680500  1  9  5  -4.5  976 180  1.5 6  2.9 100    0    0 257 -300  2
4223500 2680500  1  9  6  -4.8  976 227  1.5 5  2.8 100    0    0 246 -300  2
4223500 2680500  1  9  7  -5.6  976 194  1.7 3  2.6  99    0    0 231 -299  2
4223500 2680500  1  9  8  -5.4  977 219  1.3 4  2.5  97    0    0 226 -299  2
4223500 2680500  1  9  9  -4.3  977 335  0.8 5  2.6  95   11    5 235 -299  2
4223500 2680500  1  9 10  -3.6  977   7  0.7 4  2.8  96   77   15 235 -301  2
4223500 2680500  1  9 11  -2.9  978 324  2.1 5  3.0  97  127   26 236 -302  2
4223500 2680500  1  9 12  -0.9  979 316  1.3 4  3.2  94  119   50 237 -304  2
4223500 2680500  1  9 13   1.5  978 296  0.6 4  3.4  85  133   50 237 -305  2
4223500 2680500  1  9 14   1.3  978 311  0.9 5  3.4  78   58   81 238 -306  2
4223500 2680500  1  9 15   0.6  978 199  0.5 6  3.3  78   58   49 236 -306  2
4223500 2680500  1  9 16  -0.6  977 325  0.5 3  3.2  82   14   26 227 -304  2
4223500 2680500  1  9 17  -1.8  978 173  0.7 5  3.1  86    0    0 222 -300  2
4223500 2680500  1  9 18  -3.2  978 343  0.9 6  3.0  91    0    0 222 -297  2
4223500 2680500  1  9 19  -3.9  977 209  1.4 2  2.9  96    0    0 217 -296  2
4223500 2680500  1  9 20  -4.7  977 111  1.2 0  2.8  99    0    0 206 -296  2
4223500 2680500  1  9 21  -5.2  977 329  1.1 0  2.7 100    0    0 201 -296  2
4223500 2680500  1  9 22  -5.9  977 230  2.6 0  2.6 100    0    0 198 -295  2
4223500 2680500  1  9 23  -5.6  977 357  2.8 0  2.5  98    0    0 196 -294  2
4223500 2680500  1  9 24  -6.7  978 206  2.8 0  2.4  98    0    0 194 -294  2
4223500 2680500  1 10  1  -7.0  977 238  2.5 0  2.3  99    0    0 191 -294  2
4223500 2680500  1 10  2  -7.2  977 235  2.6 0  2.3  98    0    0 189 -294  2
4223500 2680500  1 10  3  -7.1  976 323  2.5 0  2.3  98    0    0 188 -294  2
4223500 2680500  1 10  4  -7.0  976   1  2.3 0  2.3  99    0    0 187 -294  2
4223500 2680500  1 10  5  -7.5  976 310  1.8 0  2.3 100    0    0 187 -294  2
4223500 2680500  1 10  6  -7.3  976 228  2.0 2  2.3 100    0    0 190 -294  2
4223500 2680500  1 10  7  -6.8  976 300  1.9 2  2.3  97    0    0 196 -294  2
4223500 2680500  1 10  8  -7.3  976 268  1.5 2  2.3  97    0    0 196 -294  2
4223500 2680500  1 10  9  -7.0  976 290  1.2 1  2.2  98   17    3 193 -294  2
4223500 2680500  1 10 10  -6.0  977 218  1.8 1  2.3  96   94   19 191 -295  2
4223500 2680500  1 10 11  -4.8  977 311  1.1 3  2.4  93  144   29 200 -297  2
4223500 2680500  1 10 12  -2.7  977 274  1.0 3  2.5  85  155   31 209 -300  2
4223500 2680500  1 10 13  -1.8  977 293  1.1 4  2.6  78   69   90 215 -303  2
4223500 2680500  1 10 14  -2.9  977 317  1.2 5  2.6  78   39   90 220 -305  2
4223500 2680500  1 10 15  -2.9  976 349  1.1 4  2.5  79   78   40 220 -305  2
4223500 2680500  1 10 16  -2.8  976 103  0.7 3  2.5  79   25   25 216 -304  2
4223500 2680500  1 10 17  -4.7  975 113  0.7 4  2.5  84    0    0 215 -303  2
4223500 2680500  1 10 18  -5.8  975  20  0.7 3  2.4  92    0    0 212 -302  2
4223500 2680500  1 10 19  -6.3  975  21  0.5 2  2.4  94    0    0 204 -301  2
