,Manufacturer,Basic technology,Specified technology,Addition,y_1 = m_1x + n,m_1,n,R_1²,y_2 = m_2x,m_2,R_2²,Size database,Data pairs,Datetime
38,buderus,Radiators,compact_radiator,Typ_21,y=55.732+0.098*x,0.098,55.732,0.979,y=0.127*x,0.127,0.8555,75,249.0;72.9/307.0;77.6/311.0;81.2/364.0;81.8/374.0;89.7/384.0;86.5/420.0;86.9/436.0;97.5/455.0;91.7/461.0;95.4/498.0;105.9/525.0;97.5/538.0;104.8/546.0;101.7/560.0;114.2/584.0;109.5/615.0;113.8/623.0;122.1/630.0;107.9/638.0;111.1/692.0;122.7/729.0;120.9/731.0;123.7/735.0;117.9/747.0;138.9/769.0;131.5/820.0;130.9/840.0;128.4/872.0;155.1/877.0;137.8/911.0;140.5/922.0;149.8/945.0;138.8/996.0;171.4/1023.0;151.4/1050.0;149.3/1076.0;168.2/1093.0;160.3/1121.0;188.1/1169.0;165.6/1230.0;185.9/1245.0;204.2/1260.0;170.3/1275.0;179.7/1315.0;179.7/1384.0;204.3/1432.0;228.9/1457.0;199.6/1461.0;193.9/1470.0;190.7/1537.0;222.7/1619.0;251.9/1639.0;218.9/1680.0;211.6/1753.0;221.6/1768.0;249.8/1821.0;238.2/1868.0;283.9/1890.0;231.9/1998.0;274.9/2046.0;249.8/2095.0;265.9/2100.0;250.9/2306.0;310.9/2338.0;275.9/2368.0;293.9/2415.0;281.9/2630.0;303.9/2730.0;312.9/2732.0;333.9/2922.0;331.9/3150.0;353.9/3361.0;373.9/3799.0;415.9/4384.0;471.9,2022-08-01
39,buderus,Radiators,compact_radiator,Typ_22,y=60.012+0.086*x,0.086,60.012,0.9754,y=0.110*x,0.11,0.864,75,317.0;83.3/394.0;89.1/396.0;92.3/470.0;89.5/475.0;101.2/493.0;99.1/545.0;95.4/554.0;110.6/588.0;100.1/591.0;108.5/634.0;119.5/681.0;106.3/690.0;118.4/705.0;110.1/713.0;128.4/765.0;128.9/788.0;127.7/792.0;137.3/817.0;117.4/823.0;120.1/887.0;137.8/940.0;129.8/951.0;155.6/953.0;128.4/956.0;145.2/985.0;147.3/1058.0;139.8/1090.0;139.8/1109.0;173.4/1147.0;161.9/1175.0;149.8/1182.0;166.6/1226.0;150.9/1267.0;191.7/1338.0;178.7/1362.0;161.8/1379.0;185.9/1410.0;169.7/1426.0;209.4/1529.0;194.8/1576.0;205.2/1584.0;227.4/1634.0;184.4/1645.0;189.7/1721.0;211.5/1773.0;224.7/1822.0;252.9/1880.0;209.6/1907.0;206.4/1912.0;228.3/1970.0;244.1/2059.0;278.9/2115.0;229.4/2179.0;228.9/2266.0;270.9/2294.0;259.8/2350.0;249.4/2376.0;314.9/2452.0;249.8/2561.0;299.8/2676.0;291.9/2703.0;276.9/2724.0;270.9/2955.0;338.9/3055.0;306.9/3059.0;324.9/3133.0;304.9/3441.0;358.9/3525.0;346.9/3541.0;337.9/3823.0;391.9/4086.0;381.9/4397.0;440.9/4970.0;490.9/5735.0;558.9,2022-08-01
40,buderus,Radiators,compact_radiator,Typ_33,y=73.311+0.093*x,0.093,73.311,0.9892,y=0.114*x,0.114,0.9183,75,461.0;114.7/571.0;125.3/576.0;127.3/676.0;128.4/691.0;139.3/714.0;139.4/777.0;137.3/806.0;151.9/845.0;144.1/857.0;153.9/922.0;164.5/971.0;154.6/1000.0;168.2/1014.0;159.2/1037.0;177.1/1069.0;177.1/1142.0;182.8/1152.0;189.6/1165.0;171.4/1183.0;174.9/1285.0;197.5/1336.0;202.1/1351.0;190.2/1359.0;188.5/1382.0;214.7/1428.0;211.6/1520.0;205.9/1553.0;205.2/1603.0;227.9/1613.0;239.8/1689.0;221.1/1714.0;240.5/1747.0;222.6/1843.0;261.9/1871.0;250.9/1941.0;239.3/1999.0;265.9/2027.0;249.8/2074.0;286.9/2138.0;275.9/2285.0;295.9/2304.0;311.9/2330.0;270.9/2365.0;279.8/2405.0;301.9/2570.0;324.9/2650.0;349.8/2672.0;327.9/2703.0;310.9/2718.0;304.9/2856.0;353.9/2995.0;386.9/3041.0;341.9/3106.0;338.9/3207.0;377.9/3284.0;395.9/3379.0;372.9/3456.0;437.9/3494.0;372.9/3713.0;439.8/3741.0;428.9/3883.0;406.9/3885.0;418.9/4276.0;478.9/4284.0;497.9/4392.0;465.9/4465.0;458.9/4810.0;531.9/5047.0;508.9/5068.0;526.9/5345.0;578.9/5824.0;578.9/6147.0;657.9/6948.0;735.9/8017.0;834.9,2022-08-01
41,buderus,Solar_technology,flat-plate_collectors,-,y=-1177.950+771.667*x,771.667,-1177.95,1.0,y=293.465*x,293.465,0.6155,2,2.37;650.9/2.55;789.8,2022-07-22
42,buderus,Storage_technology,buffer_storage,0_Heat_exchanger,y=68.413+1.375*x,1.375,68.413,0.6573,y=1.444*x,1.444,0.6555,7,494.0;1098.0/495.0;807.9/743.0;905.9/954.0;1005.0/965.0;1045.0/1258.0;2235.0/1275.0;1885.0,2022-03-17
43,buderus,Storage_technology,buffer_storage,0_Heat_exchanger,y=68.413+1.375*x,1.375,68.413,0.6573,y=1.444*x,1.444,0.6555,7,494.0;1098.0/495.0;807.9/743.0;905.9/954.0;1005.0/965.0;1045.0/1258.0;2235.0/1275.0;1885.0,2022-07-27
44,buderus,Storage_technology,buffer_storage,1_Heat_exchanger,y=523.352+1.506*x,1.506,523.352,0.8822,y=2.043*x,2.043,0.7616,8,481.0;1309.0/724.0;1745.0/725.0;1525.0/931.0;2045.0/932.0;1779.0/960.0;1779.0/1233.0;2295.0/1270.0;2635.0,2022-03-17
45,buderus,Storage_technology,buffer_storage,1_Heat_exchanger,y=523.352+1.506*x,1.506,523.352,0.8822,y=2.043*x,2.043,0.7616,8,481.0;1309.0/724.0;1745.0/725.0;1525.0/931.0;2045.0/932.0;1779.0/960.0;1779.0/1233.0;2295.0/1270.0;2635.0,2022-07-27
46,heizungsdiscount24,Radiators,compact_radiator,Typ_20,y=44.973+0.064*x,0.064,44.973,0.9336,y=0.141*x,0.141,-0.5766,9,282.0;62.3/330.0;68.5/424.0;67.8/470.0;80.9/495.0;74.8/565.0;77.9/660.0;87.3/705.0;90.4/825.0;98.2,2022-08-01
47,heizungsdiscount24,Radiators,compact_radiator,Typ_21,y=58.817+0.058*x,0.058,58.817,0.9904,y=0.113*x,0.113,-0.0322,19,374.0;80.2/434.0;87.9/560.0;88.8/595.0;97.4/652.0;96.6/744.0;102.9/747.0;99.7/760.0;102.1/869.0;107.6/893.0;107.6/934.0;111.5/977.0;115.4/1086.0;120.8/1121.0;124.7/1190.0;124.7/1303.0;134.1/1308.0;135.7/1520.0;146.6/1738.0;161.8,2022-08-01
48,heizungsdiscount24,Radiators,compact_radiator,Typ_22,y=67.328+0.052*x,0.052,67.328,0.8793,y=0.094*x,0.094,0.1932,40,479.0;87.3/506.0;90.4/555.0;92.7/587.0;122.4/599.0;91.2/675.0;102.9/694.0;98.9/718.0;95.1/743.0;111.5/832.0;102.1/838.0;101.3/844.0;116.9/958.0;107.6/971.0;109.8/1013.0;129.4/1077.0;115.4/1110.0;116.9/1114.0;130.2/1182.0;143.5/1197.0;120.8/1248.0;124.7/1300.0;143.5/1350.0;158.7/1387.0;130.2/1436.0;134.1/1486.0;154.4/1519.0;171.1/1664.0;144.9/1671.0;166.1/1676.0;148.3/1688.0;185.2/1857.0;177.8/1915.0;163.3/1942.0;158.3/2155.0;163.3/2219.0;176.6/2228.0;201.9/2394.0;189.8/2497.0;189.8/2774.0;204.7,2022-08-01
49,heizungsdiscount24,Radiators,compact_radiator,Typ_33,y=81.516+0.058*x,0.058,81.516,0.9107,y=0.099*x,0.099,0.3941,21,966.0;136.4/992.0;133.3/1023.0;141.9/1145.0;140.3/1207.0;154.4/1322.0;153.6/1448.0;172.3/1526.0;161.4/1534.0;165.3/1653.0;173.9/1690.0;189.5/1908.0;182.5/1931.0;210.2/1984.0;192.6/2046.0;193.4/2173.0;228.1/2290.0;203.6/2414.0;246.1/2557.0;221.5/2671.0;223.1/3068.0;249.8,2022-08-01
50,heizungsdiscount24,Storage_technology,buffer_storage,0_Heat_exchanger,y=272.569+0.431*x,0.431,272.569,0.9533,y=0.663*x,0.663,0.5462,10,120.0;362.9/199.0;407.9/291.0;425.9/493.0;463.9/597.0;521.9/810.0;529.8/951.0;586.9/1098.0;758.9/1484.0;972.9/1908.0;1125.0,2022-03-17
51,heizungsdiscount24,Storage_technology,buffer_storage,0_Heat_exchanger,y=331.376+0.699*x,0.699,331.376,0.9088,y=0.981*x,0.981,0.6902,10,120.0;500.9/199.0;562.9/291.0;587.9/493.0;635.9/597.0;712.9/810.0;723.9/951.0;836.9/1098.0;1025.0/1484.0;1625.0/1908.0;1659.0,2022-07-27
52,heizungsdiscount24,Storage_technology,buffer_storage,1_Heat_exchanger,y=350.489+0.570*x,0.57,350.489,0.9451,y=0.857*x,0.857,0.6369,8,291.0;599.8/493.0;623.9/597.0;690.9/810.0;722.9/951.0;777.9/1098.0;1035.0/1484.0;1275.0/1908.0;1425.0,2022-03-17
53,heizungsdiscount24,Storage_technology,buffer_storage,1_Heat_exchanger,y=494.177+0.821*x,0.821,494.177,0.9283,y=1.227*x,1.227,0.6389,8,291.0;903.9/493.0;917.9/597.0;970.9/810.0;999.8/951.0;1085.0/1098.0;1429.0/1484.0;1819.0/1908.0;2095.0,2022-07-27
54,heizungsdiscount24,Storage_technology,buffer_storage,2_Heat_exchanger,y=393.816+0.681*x,0.681,393.816,0.9167,y=0.995*x,0.995,0.6838,7,493.0;823.9/597.0;698.9/810.0;889.8/951.0;976.9/1098.0;1325.0/1484.0;1345.0/1908.0;1698.0,2022-03-17
55,heizungsdiscount24,Storage_technology,buffer_storage,2_Heat_exchanger,y=574.822+0.923*x,0.923,574.822,0.9668,y=1.382*x,1.382,0.682,7,493.0;1125.0/597.0;1145.0/810.0;1209.0/951.0;1335.0/1098.0;1655.0/1484.0;2005.0/1908.0;2329.0,2022-07-27
56,heizungsdiscount24,Storage_technology,combined_storage,0_Heat_exchanger,y=1063.564+0.908*x,0.908,1063.564,0.9647,y=1.755*x,1.755,-0.0425,7,493.0;1565.0/597.0;1619.0/810.0;1729.0/951.0;1785.0/1098.0;2185.0/1484.0;2449.0/1908.0;2775.0,2022-07-25
57,heizungsdiscount24,Storage_technology,combined_storage,1_Heat_exchanger,y=1523.561+0.931*x,0.931,1523.561,0.9269,y=2.146*x,2.146,-0.9587,7,493.0;1995.0/597.0;2049.0/810.0;2115.0/951.0;2385.0/1098.0;2798.0/1484.0;2955.0/1908.0;3205.0,2022-07-25
58,heizungsdiscount24,Storage_technology,combined_storage,2_Heat_exchanger,y=1538.399+1.064*x,1.064,1538.399,0.8895,y=2.291*x,2.291,-0.5236,7,493.0;2085.0/597.0;2169.0/810.0;2245.0/951.0;2359.0/1098.0;3039.0/1484.0;3259.0/1908.0;3425.0,2022-07-25
59,heizungsdiscount24,Storage_technology,hot_water_storage,-,y=362.257+1.942*x,1.942,362.257,0.9715,y=2.532*x,2.532,0.7966,11,10.84;515.9/20.0;475.9/32.0;483.9/116.0;579.8/152.0;626.9/199.0;658.9/291.0;796.9/391.0;1055.0/493.0;1185.0/780.0;2075.0/980.0;2259.0,2022-07-25
60,junkers,Air_conditioner,-,-,y=109.476+322.857*x,322.857,109.476,0.57,y=351.299*x,351.299,0.5655,3,3.2;1175.0/4.0;1239.0/4.2;1595.0,2022-09-13
61,junkers,Flow_heater,-,electricity,y=179.206+3.331*x,3.331,179.206,0.2986,y=12.761*x,12.761,-2.8753,9,3.5;153.3/4.5;170.9/6.0;170.9/12.0;318.9/13.0;264.9/18.0;240.9/21.0;240.9/24.0;240.9/27.0;240.9,2022-08-02
62,junkers,Flow_heater,-,gas,y=438.129+22.962*x,22.962,438.129,0.9978,y=44.434*x,44.434,0.1106,3,17.4;834.9/19.2;882.9/23.6;978.9,2022-08-02
63,junkers,Gas_heating,boiler,-,y=2627.727+37.416*x,37.416,2627.727,0.9486,y=109.680*x,109.68,-3.1489,5,15.0;3235.0/22.0;3479.0/30.0;3725.0/40.0;3935.0/50.0;4639.0,2021-12-30
64,junkers,Gas_heating,boiler,-,y=2880.967+40.969*x,40.969,2880.967,0.9698,y=120.197*x,120.197,-3.2304,5,15.0;3565.0/22.0;3775.0/30.0;4069.0/40.0;4379.0/50.0;5049.0,2022-07-22
65,junkers,Gas_heating,therme,-,y=1451.491+45.222*x,45.222,1451.491,0.9796,y=71.306*x,71.306,0.5023,11,10.0;2055.0/14.0;2098.0/18.0;2095.0/20.0;2498.0/24.0;2249.0/30.0;2739.0/40.0;3449.0/42.0;3519.0/50.0;3749.0/70.0;4339.0/100.0;6079.0,2022-01-10
66,junkers,Gas_heating,therme,-,y=1595.294+47.877*x,47.877,1595.294,0.9331,y=76.546*x,76.546,0.4432,11,10.0;2295.0/14.0;2175.0/18.0;2349.0/20.0;3145.0/24.0;2085.0/30.0;3005.0/40.0;3625.0/42.0;3805.0/50.0;3929.0/70.0;4479.0/100.0;6669.0,2022-07-27
67,junkers,Heat_pumps,air-water,-,y=3610.233+557.911*x,557.911,3610.233,0.4796,y=996.537*x,996.537,0.1512,7,4.0;5969.0/5.0;4679.0/6.0;7559.0/7.0;9189.0/9.0;7479.0/10.0;11229.0/11.0;8179.0,2022-07-25
68,junkers,Heat_pumps,brine-water,-,y=4376.697+377.573*x,377.573,4376.697,0.962,y=462.292*x,462.292,0.8904,13,11.0;6498.0/13.0;7579.0/18.0;8898.0/21.0;15989.0/28.0;18039.0/36.0;20109.0/47.0;22319.0/54.0;25079.0/6.0;6369.0/63.0;27679.0/71.0;30259.0/78.0;32829.0/8.0;6669.0,2022-07-25
69,junkers,Solar_technology,flat-plate_collectors,-,y=-127.279+315.188*x,315.188,-127.279,0.871,y=306.911*x,306.911,0.8702,24,2.09;455.9/2.37;734.9/2.55;919.8/4.18;967.9/4.74;1439.0/5.1;1989.0/6.27;1445.0/7.11;2149.0/7.6499999999999995;2975.0/8.36;1915.0/9.48;2849.0/10.2;3945.0/10.45;2369.0/11.850000000000001;3529.0/12.54;2815.0/12.75;4879.0/14.22;4189.0/15.299999999999999;5789.0/16.72;3715.0/18.96;5529.0/20.4;7639.0/20.9;4589.0/23.700000000000003;6839.0/25.5;9449.0,2022-07-22
70,junkers,Solar_technology,tube_collectors,-,y=71.005+368.616*x,368.616,71.005,0.9997,y=377.518*x,377.518,0.9989,8,1.22;487.9/2.44;956.9/3.66;1429.0/4.88;1895.0/6.1;2345.0/7.32;2785.0/9.76;3669.0/12.2;4539.0,2022-07-22
71,junkers,Storage_technology,combined_storage,1_Heat_exchanger,y=2193.286+0.843*x,0.843,2193.286,0.9805,y=3.749*x,3.749,-11.2961,3,500.0;2625.0/750.0;2798.0/900.0;2969.0,2022-07-25
72,junkers,Storage_technology,hot_water_storage,-,y=533.965+3.593*x,3.593,533.965,0.8579,y=4.511*x,4.511,0.7719,20,114.0;862.9/114.8;954.9/115.0;1045.0/132.4;1149.0/149.0;1375.0/155.5;1089.0/158.8;1149.0/179.0;2195.0/196.0;1145.0/294.0;1379.0/300.0;1689.0/375.0;1739.0/396.9;1915.0/415.0;789.8/503.0;2098.0/524.0;1965.0/740.0;3369.0/768.0;3315.0/955.0;4379.0/991.0;4299.0,2022-07-25
73,kermi,Radiators,compact_radiator,Typ_11,y=37.960+0.119*x,0.119,37.96,0.9894,y=0.155*x,0.155,0.8775,83,179.0;54.6/224.0;61.6/226.0;58.9/269.0;68.6/272.0;65.7/283.0;66.8/314.0;75.6/316.0;71.9/339.0;74.5/359.0;82.7/381.0;80.1/395.0;81.4/396.0;82.6/403.0;89.7/407.0;83.2/446.0;88.7/448.0;96.7/452.0;90.5/473.0;90.8/475.0;91.9/476.0;91.4/493.0;103.7/508.0;98.4/537.0;110.7/543.0;100.7/552.0;100.2/557.0;102.2/565.0;106.3/571.0;102.7/582.0;117.7/611.0;109.4/622.0;114.2/627.0;124.7/631.0;109.7/667.0;113.9/668.0;115.6/678.0;122.1/679.0;118.2/710.0;119.1/717.0;138.7/734.0;129.8/747.0;126.9/762.0;125.3/780.0;129.1/789.0;128.5/791.0;137.9/807.0;152.7/815.0;135.6/857.0;136.6/868.0;137.9/883.0;144.4/891.0;142.5/896.0;166.7/904.0;153.7/947.0;147.4/950.0;153.1/952.0;147.9/1003.0;155.9/1017.0;169.5/1026.0;156.8/1048.0;159.2/1086.0;170.6/1105.0;166.3/1114.0;169.4/1130.0;185.4/1143.0;170.5/1222.0;187.9/1225.0;182.9/1238.0;181.8/1262.0;185.1/1333.0;193.1/1337.0;196.3/1358.0;205.5/1420.0;203.9/1448.0;209.8/1524.0;215.7/1560.0;223.2/1578.0;222.8/1714.0;238.3/1782.0;249.8/1905.0;260.9/2005.0;276.9/2228.0;303.9,2022-08-01
74,kermi,Radiators,compact_radiator,Typ_22,y=72.267+0.113*x,0.113,72.267,0.9569,y=0.154*x,0.154,0.7863,92,309.0;99.3/327.0;114.6/382.0;124.6/386.0;109.8/389.0;112.6/436.0;134.6/463.0;111.7/486.0;123.7/491.0;144.6/535.0;117.2/540.0;130.9/545.0;154.6/579.0;124.4/582.0;134.8/600.0;164.6/618.0;141.4/638.0;137.8/654.0;174.6/669.0;131.3/680.0;145.9/695.0;136.9/709.0;184.7/735.0;159.2/763.0;194.7/772.0;162.5/777.0;156.9/797.0;156.3/803.0;145.4/811.0;149.6/849.0;172.9/872.0;214.7/874.0;168.1/920.0;181.6/927.0;162.2/936.0;159.6/956.0;174.7/971.0;179.1/981.0;234.7/1004.0;194.1/1042.0;174.8/1068.0;190.2/1070.0;173.7/1081.0;204.6/1090.0;254.9/1103.0;203.9/1116.0;193.1/1158.0;187.5/1165.0;201.3/1204.0;187.9/1235.0;225.7/1262.0;212.4/1274.0;200.1/1275.0;211.6/1287.0;226.3/1338.0;201.9/1359.0;223.5/1390.0;212.7/1434.0;229.8/1471.0;248.7/1472.0;216.1/1505.0;225.3/1544.0;267.9/1553.0;245.7/1594.0;248.5/1605.0;230.3/1621.0;237.9/1655.0;270.9/1739.0;244.4/1748.0;267.9/1753.0;266.9/1839.0;293.9/1853.0;262.9/1873.0;258.9/1913.0;284.9/1942.0;289.8/2023.0;315.9/2072.0;303.9/2085.0;287.9/2141.0;286.9/2206.0;337.9/2231.0;321.9/2316.0;313.9/2390.0;360.9/2408.0;314.9/2550.0;358.9/2574.0;382.9/2676.0;342.9/2869.0;395.9/2942.0;427.9/3188.0;432.9/3309.0;472.9/3677.0;516.9,2022-08-01
75,kermi,Radiators,compact_radiator,Typ_33,y=93.435+0.135*x,0.135,93.435,0.9566,y=0.176*x,0.176,0.8437,95,419.0;151.6/481.0;172.3/524.0;166.3/526.0;163.5/561.0;186.3/626.0;166.8/629.0;181.1/642.0;200.3/658.0;180.9/719.0;170.3/722.0;214.4/734.0;195.9/782.0;186.4/790.0;198.3/802.0;228.4/839.0;210.6/849.0;207.7/882.0;242.4/899.0;191.3/921.0;215.7/938.0;205.9/944.0;225.4/962.0;255.9/969.0;242.1/1043.0;269.8/1048.0;240.2/1052.0;233.1/1062.0;236.3/1079.0;212.3/1095.0;225.7/1123.0;283.9/1153.0;254.9/1184.0;249.8/1211.0;277.9/1251.0;245.3/1258.0;233.3/1274.0;264.9/1283.0;312.9/1316.0;267.9/1363.0;283.9/1408.0;264.9/1438.0;253.9/1444.0;340.9/1447.0;284.9/1453.0;312.9/1468.0;298.9/1486.0;293.9/1564.0;284.9/1579.0;302.9/1604.0;368.9/1617.0;274.9/1678.0;328.9/1695.0;348.9/1698.0;321.9/1710.0;319.8/1721.0;303.9/1797.0;295.9/1842.0;336.9/1877.0;323.9/1887.0;357.9/1911.0;350.9/1937.0;383.9/1977.0;316.9/2034.0;342.9/2097.0;387.9/2105.0;371.9/2123.0;378.9/2157.0;337.9/2180.0;419.8/2191.0;362.9/2335.0;407.9/2337.0;358.9/2368.0;406.9/2422.0;454.9/2503.0;401.9/2516.0;379.8/2548.0;436.9/2631.0;441.9/2664.0;490.9/2760.0;464.9/2816.0;440.9/2876.0;421.9/2906.0;525.9/2972.0;493.9/3129.0;480.9/3148.0;561.9/3236.0;463.9/3390.0;596.9/3397.0;550.9/3595.0;505.9/3821.0;608.9/3875.0;667.9/4246.0;665.9/4359.0;738.9/4844.0;809.8,2022-08-01
76,stiebel-eltron,Flow_heater,-,electricity,y=117.369+8.373*x,8.373,117.369,0.4361,y=15.013*x,15.013,0.0781,12,3.5;93.1/4.4;103.7/5.7;108.4/6.5;155.6/10.7;260.9/13.2;379.8/13.5;212.1/15.0;379.8/18.0;260.9/21.0;260.9/24.0;260.9/27.0;292.9,2022-08-02
77,twl,Storage_technology,buffer_storage,0_Heat_exchanger,y=788.158+0.582*x,0.582,788.158,0.7404,y=0.726*x,0.726,0.6368,17,150.0;1459.0/200.0;396.9/300.0;429.8/400.0;1998.0/500.0;479.8/750.0;3055.0/800.0;546.9/1000.0;3755.0/1079.0;597.9/1500.0;988.9/2000.0;1265.0/2500.0;1489.0/3000.0;1795.0/4000.0;2859.0/5000.0;3425.0/7500.0;5589.0/10000.0;6949.0,2022-03-17
78,twl,Storage_technology,buffer_storage,0_Heat_exchanger,y=924.910+0.792*x,0.792,924.91,0.7544,y=0.961*x,0.961,0.6759,17,150.0;1645.0/200.0;457.9/300.0;498.9/400.0;2465.0/500.0;568.9/750.0;4009.0/800.0;658.9/1000.0;4849.0/1079.0;725.9/1500.0;1255.0/2000.0;1665.0/2500.0;1855.0/3000.0;2245.0/4000.0;3775.0/5000.0;4539.0/7500.0;7459.0/10000.0;9279.0,2022-07-27
79,twl,Storage_technology,buffer_storage,1_Heat_exchanger,y=98.452+0.785*x,0.785,98.452,0.9934,y=0.802*x,0.802,0.9925,13,200.0;497.9/300.0;519.8/500.0;651.9/800.0;746.9/1079.0;858.9/1500.0;1255.0/2000.0;1585.0/2500.0;1798.0/3000.0;2115.0/4000.0;3239.0/5000.0;3885.0/7500.0;6309.0/10000.0;7959.0,2022-03-17
80,twl,Storage_technology,buffer_storage,1_Heat_exchanger,y=26.729+1.060*x,1.06,26.729,0.9918,y=1.064*x,1.064,0.9918,13,200.0;592.9/300.0;622.9/500.0;799.8/800.0;928.9/1079.0;1079.0/1500.0;1585.0/2000.0;1975.0/2500.0;2255.0/3000.0;2679.0/4000.0;4279.0/5000.0;5149.0/7500.0;8429.0/10000.0;10649.0,2022-07-27
81,twl,Storage_technology,buffer_storage,2_Heat_exchanger,y=211.925+0.807*x,0.807,211.925,0.9931,y=0.844*x,0.844,0.989,13,200.0;604.9/300.0;634.9/500.0;717.9/800.0;900.9/1079.0;977.9/1500.0;1475.0/2000.0;1735.0/2500.0;1945.0/3000.0;2295.0/4000.0;3439.0/5000.0;4119.0/7500.0;6659.0/10000.0;8229.0,2022-03-17
82,twl,Storage_technology,buffer_storage,2_Heat_exchanger,y=148.727+1.103*x,1.103,148.727,0.9917,y=1.129*x,1.129,0.9906,13,200.0;735.9/300.0;778.9/500.0;889.8/800.0;1135.0/1079.0;1239.0/1500.0;1839.0/2000.0;2169.0/2500.0;2449.0/3000.0;2898.0/4000.0;4559.0/5000.0;5469.0/7500.0;8889.0/10000.0;11219.0,2022-07-27
83,twl,Storage_technology,combined_storage,0_Heat_exchanger,y=836.015+0.763*x,0.763,836.015,0.994,y=0.906*x,0.906,0.9345,11,500.0;1459.0/800.0;1575.0/1079.0;1629.0/1500.0;2075.0/2000.0;2289.0/2500.0;2525.0/3000.0;2865.0/4000.0;3889.0/5000.0;4498.0/7500.0;6849.0/10000.0;8429.0,2022-07-25
84,twl,Storage_technology,combined_storage,1_Heat_exchanger,y=1171.917+0.775*x,0.775,1171.917,0.9857,y=0.982*x,0.982,0.8432,14,280.0;1715.0/400.0;1809.0/500.0;1598.0/520.0;1955.0/800.0;1749.0/1079.0;1835.0/1500.0;2289.0/2000.0;2569.0/2500.0;2798.0/3000.0;2969.0/4000.0;4179.0/5000.0;4849.0/7500.0;7339.0/10000.0;9049.0,2022-07-25
85,twl,Storage_technology,combined_storage,2_Heat_exchanger,y=1238.906+0.814*x,0.814,1238.906,0.985,y=1.031*x,1.031,0.8508,13,400.0;2005.0/500.0;1675.0/520.0;2175.0/800.0;1879.0/1079.0;1969.0/1500.0;2449.0/2000.0;2729.0/2500.0;2965.0/3000.0;3155.0/4000.0;4389.0/5000.0;5098.0/7500.0;7698.0/10000.0;9489.0,2022-07-25
86,twl,Storage_technology,hot_water_storage,-,y=264.964+1.860*x,1.86,264.964,0.9831,y=2.075*x,2.075,0.9618,9,150.0;657.9/200.0;680.9/300.0;803.9/400.0;991.9/500.0;1085.0/800.0;1755.0/1000.0;1898.0/1500.0;3375.0/2000.0;3879.0,2022-07-25
87,vaillant,Air_conditioner,-,-,y=-256.608+349.622*x,349.622,-256.608,0.9823,y=302.377*x,302.377,0.9624,4,2.93;860.9/3.81;989.8/5.57;1625.0/7.2;2319.0,2022-09-13
88,vaillant,Flow_heater,-,electricity,y=67.252+8.038*x,8.038,67.252,0.9689,y=11.303*x,11.303,0.7464,7,3.5;94.8/4.4;102.6/5.7;106.9/18.0;236.1/21.0;236.1/24.0;236.1/27.0;290.9,2022-08-02
89,vaillant,Gas_heating,boiler,-,y=1063.453+63.731*x,63.731,1063.453,0.8523,y=89.300*x,89.3,0.6938,9,18.0;2085.0/22.0;2889.0/25.0;2355.0/28.0;3105.0/35.0;2998.0/36.0;3735.0/47.0;4109.0/48.0;3375.0/65.0;5569.0,2021-12-30
90,vaillant,Gas_heating,boiler,-,y=1338.986+62.960*x,62.96,1338.986,0.8506,y=95.153*x,95.153,0.5936,9,18.0;2398.0/22.0;3125.0/25.0;2715.0/28.0;3295.0/35.0;3235.0/36.0;3915.0/47.0;4349.0/48.0;3559.0/65.0;5859.0,2022-07-22
91,vaillant,Gas_heating,therme,-,y=1282.769+34.910*x,34.91,1282.769,0.9775,y=53.060*x,53.06,0.566,13,10.0;1849.0/14.0;1379.0/15.0;2125.0/20.0;1895.0/25.0;2269.0/26.0;2075.0/30.0;2365.0/40.0;2725.0/47.0;2955.0/63.0;3289.0/80.0;3929.0/100.0;4809.0/120.0;5609.0,2022-01-10
92,vaillant,Gas_heating,therme,-,y=1288.977+41.299*x,41.299,1288.977,0.9881,y=59.536*x,59.536,0.688,13,10.0;1735.0/14.0;1559.0/15.0;2155.0/20.0;2189.0/25.0;2298.0/26.0;2298.0/30.0;2409.0/40.0;3159.0/47.0;3389.0/63.0;3755.0/80.0;4429.0/100.0;5419.0/120.0;6329.0,2022-07-27
93,vaillant,Heat_pumps,brine-water,-,y=6911.373+299.566*x,299.566,6911.373,0.9856,y=436.180*x,436.18,0.6218,6,12.0;9009.0/25.0;15349.0/41.0;19929.0/6.0;8189.0/78.0;29759.0/9.0;10459.0,2022-07-25
